period,role,skills,count,total_role_posts,role_market_share
2026-01,Backend Engineer,ai,16,191,8.38
2026-01,Backend Engineer,aws,7,191,3.66
2026-01,Backend Engineer,go,7,191,3.66
2026-01,Backend Engineer,javascript,17,191,8.9
2026-01,Backend Engineer,kubernetes,6,191,3.14
2026-01,Backend Engineer,machine learning,7,191,3.66
2026-01,Backend Engineer,python,28,191,14.66
2026-01,Backend Engineer,rust,8,191,4.19
2026-01,Backend Engineer,sql,5,191,2.62
2026-01,Backend Engineer,terraform,5,191,2.62
2026-01,Backend Engineer,typescript,13,191,6.81
2026-01,Frontend Engineer,ai,33,357,9.24
2026-01,Frontend Engineer,aws,21,357,5.88
2026-01,Frontend Engineer,docker,5,357,1.4
2026-01,Frontend Engineer,gcp,7,357,1.96
2026-01,Frontend Engineer,go,5,357,1.4
2026-01,Frontend Engineer,javascript,40,357,11.2
2026-01,Frontend Engineer,kubernetes,10,357,2.8
2026-01,Frontend Engineer,llm,9,357,2.52
2026-01,Frontend Engineer,machine learning,6,357,1.68
2026-01,Frontend Engineer,nextjs,14,357,3.92
2026-01,Frontend Engineer,node.js,13,357,3.64
2026-01,Frontend Engineer,postgresql,10,357,2.8
2026-01,Frontend Engineer,python,19,357,5.32
2026-01,Frontend Engineer,react,56,357,15.69
2026-01,Frontend Engineer,redis,5,357,1.4
2026-01,Frontend Engineer,sql,5,357,1.4
2026-01,Frontend Engineer,terraform,5,357,1.4
2026-01,Frontend Engineer,typescript,38,357,10.64
2026-01,General Software Engineer,ai,48,89,53.93
2026-01,General Software Engineer,c++,5,89,5.62
2026-01,General Software Engineer,go,9,89,10.11
2026-01,ML / AI Engineer,ai,13,35,37.14
2026-01,ML / AI Engineer,llm,6,35,17.14
2026-01,ML / AI Engineer,machine learning,14,35,40.0
2026-02,Backend Engineer,ai,24,191,12.57
2026-02,Backend Engineer,aws,11,191,5.76
2026-02,Backend Engineer,gcp,5,191,2.62
2026-02,Backend Engineer,go,7,191,3.66
2026-02,Backend Engineer,javascript,18,191,9.42
2026-02,Backend Engineer,machine learning,8,191,4.19
2026-02,Backend Engineer,postgresql,7,191,3.66
2026-02,Backend Engineer,python,28,191,14.66
2026-02,Backend Engineer,rust,8,191,4.19
2026-02,Backend Engineer,terraform,6,191,3.14
2026-02,Backend Engineer,typescript,17,191,8.9
2026-02,Frontend Engineer,ai,24,317,7.57
2026-02,Frontend Engineer,aws,18,317,5.68
2026-02,Frontend Engineer,docker,5,317,1.58
2026-02,Frontend Engineer,gcp,6,317,1.89
2026-02,Frontend Engineer,go,5,317,1.58
2026-02,Frontend Engineer,javascript,34,317,10.73
2026-02,Frontend Engineer,kubernetes,9,317,2.84
2026-02,Frontend Engineer,machine learning,7,317,2.21
2026-02,Frontend Engineer,nextjs,11,317,3.47
2026-02,Frontend Engineer,node.js,7,317,2.21
2026-02,Frontend Engineer,postgresql,14,317,4.42
2026-02,Frontend Engineer,python,21,317,6.62
2026-02,Frontend Engineer,react,43,317,13.56
2026-02,Frontend Engineer,rust,5,317,1.58
2026-02,Frontend Engineer,tailwind,5,317,1.58
2026-02,Frontend Engineer,terraform,5,317,1.58
2026-02,Frontend Engineer,typescript,32,317,10.09
2026-02,General Software Engineer,ai,35,64,54.69
2026-02,General Software Engineer,go,6,64,9.38
2026-02,General Software Engineer,ios,5,64,7.81
2026-02,ML / AI Engineer,ai,9,28,32.14
2026-02,ML / AI Engineer,machine learning,8,28,28.57
